,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
0,1991,Alabama,0.004481331263631509,1.881795044292751e-05,0.009800674950792083,8.877163578511455e-05,0.02191513963430586,0.002649240153660838,0.034383872689201705,0.0002910646030465853,0.0011998488836762256,0.0060610163861394345,4888949
1,1992,Alabama,0.0036075238256729615,9.449883809383161e-05,0.008123627389035966,5.68629372079766e-05,0.0219124805760911,0.0026735807634728857,0.03280418756669378,0.0002616104197446118,0.0010656687153005686,0.004991665897926119,4888949
2,2006,Alabama,6.340831127508182e-06,1.0227146979851906e-06,6.238559657709664e-05,4.0908587919407626e-07,0.00039272244402631325,3.190869857713795e-05,0.000488039453878533,3.6817729127466863e-06,1.6772521046957128e-05,2.7204210966406073e-05,4888949
3,2007,Alabama,6.7499170067022585e-06,2.0454293959703813e-07,7.60899735300982e-05,,0.000391495186388731,3.2522327395929064e-05,0.0005003120302543553,5.113573489925953e-06,1.4727091650986745e-05,2.659058214761496e-05,4888949
4,2008,Alabama,6.954459946299297e-06,4.0908587919407626e-07,8.979435048309974e-05,4.0908587919407626e-07,0.0003610182883887723,2.4749695691241614e-05,0.00047597142044230776,3.4772299731496484e-06,1.2681662255016364e-05,2.3522438053659386e-05,4888949
5,2009,Alabama,6.7499170067022585e-06,2.0454293959703813e-07,8.979435048309974e-05,4.0908587919407626e-07,0.0003608137454491753,1.7795235744942317e-05,0.00046860787461681436,2.454515275164458e-06,8.999889342269678e-06,1.861340750333047e-05,4888949
6,2010,Alabama,4.909030550328916e-06,4.0908587919407626e-07,8.140808995962118e-05,2.0454293959703813e-07,0.000343018509704233,2.2499723355674193e-05,0.00044733540889872243,8.181717583881525e-07,9.613518161060792e-06,1.55452634093749e-05,4888949
7,2011,Alabama,3.4772299731496484e-06,4.0908587919407626e-07,8.631712050995009e-05,,0.00034138216618745664,2.2295180416077158e-05,0.00045040355299267795,1.8408864563733431e-06,7.159002885896335e-06,1.2477119315419326e-05,4888949
8,2012,Alabama,5.113573489925953e-06,2.0454293959703813e-07,7.997628938244191e-05,4.0908587919407626e-07,0.0003518138561069056,1.8204321624136395e-05,0.00045019901005308096,3.27268703355261e-06,9.408975221463755e-06,1.8204321624136395e-05,4888949
9,2013,Alabama,5.931745248314106e-06,2.0454293959703813e-07,7.056731416097816e-05,4.0908587919407626e-07,0.00043894914837524384,2.209063747648012e-05,0.0005318116429522991,2.0454293959703812e-06,7.159002885896335e-06,1.55452634093749e-05,4888949
