date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime
1991,Alabama,21909.0,92.0,47915.0,434.0,107142.0,12952.0,168101.0,1423.0,5866.0,29632.0
1991,Iowa,,,1.0,,2.0,,3.0,,,
1991,Illinois,2.0,,2.0,2.0,6.0,2.0,10.0,1.0,,5.0
1991,North Dakota,155.0,76.0,1640.0,3.0,9074.0,625.0,11415.0,140.0,34.0,332.0
1991,South Carolina,24779.0,1190.0,43161.0,379.0,103854.0,11417.0,159622.0,2600.0,5755.0,33513.0
1992,Alabama,17637.0,462.0,39716.0,278.0,107129.0,13071.0,160378.0,1279.0,5210.0,24404.0
1992,Colorado,201.0,65.0,471.0,3.0,2155.0,302.0,2993.0,22.0,74.0,300.0
1992,Iowa,3978.0,574.0,11417.0,29.0,46364.0,2526.0,60881.0,440.0,731.0,5178.0
1992,Idaho,1402.0,137.0,3842.0,17.0,14652.0,965.0,19596.0,230.0,104.0,1753.0
1992,Illinois,1.0,,3.0,1.0,1.0,1.0,5.0,,,2.0
1992,North Dakota,176.0,78.0,1741.0,5.0,10489.0,684.0,12992.0,155.0,42.0,378.0
1992,South Carolina,26356.0,1264.0,49729.0,380.0,117135.0,14050.0,182178.0,2919.0,6372.0,36027.0
1993,Colorado,192.0,39.0,388.0,,1878.0,195.0,2500.0,23.0,55.0,270.0
1993,Iowa,5193.0,664.0,13954.0,53.0,52953.0,3354.0,70925.0,565.0,938.0,6749.0
1993,Idaho,2656.0,232.0,6788.0,28.0,27504.0,1980.0,36504.0,498.0,172.0,3354.0
1993,Illinois,12824.0,1100.0,37659.0,191.0,128716.0,13393.0,180868.0,1772.0,4211.0,18998.0
1993,North Dakota,177.0,98.0,1735.0,8.0,10737.0,757.0,13327.0,142.0,45.0,372.0
1993,South Carolina,28603.0,477.0,47519.0,390.0,119083.0,13836.0,180915.0,2719.0,6995.0,38707.0
1993,Utah,205.0,49.0,886.0,12.0,4455.0,312.0,5702.0,98.0,34.0,349.0
1993,Vermont,,1.0,47.0,,69.0,6.0,123.0,6.0,,6.0
1994,Colorado,96.0,22.0,156.0,,753.0,67.0,998.0,9.0,21.0,126.0
1994,Iowa,5225.0,687.0,14050.0,40.0,54201.0,3867.0,72805.0,650.0,1025.0,6940.0
1994,Idaho,2748.0,349.0,7875.0,40.0,32444.0,2322.0,42990.0,416.0,209.0,3413.0
1994,Illinois,10536.0,1106.0,28253.0,170.0,103319.0,10576.0,143254.0,1351.0,3625.0,15682.0
1994,Massachusetts,53.0,2.0,42.0,,199.0,37.0,280.0,,4.0,57.0
1994,North Dakota,185.0,89.0,1569.0,,10683.0,800.0,13141.0,163.0,58.0,406.0
1994,South Carolina,29612.0,806.0,47366.0,358.0,125599.0,15134.0,188905.0,2854.0,7083.0,39907.0
1994,Utah,740.0,153.0,3543.0,15.0,19230.0,1272.0,24198.0,286.0,137.0,1178.0
1994,Virginia,127.0,28.0,198.0,11.0,1280.0,419.0,1925.0,55.0,29.0,222.0
1994,Vermont,140.0,164.0,2080.0,2.0,3735.0,327.0,6306.0,84.0,23.0,249.0
1995,Iowa,6162.0,686.0,17368.0,54.0,64589.0,5210.0,87853.0,649.0,1225.0,8090.0
1995,Idaho,3051.0,343.0,8617.0,43.0,35429.0,2935.0,47324.0,412.0,258.0,3764.0
1995,Illinois,2.0,,1.0,,4.0,,5.0,,,2.0
1995,Massachusetts,6470.0,256.0,9226.0,12.0,24793.0,4325.0,38600.0,383.0,866.0,7731.0
1995,Michigan,4460.0,607.0,12590.0,41.0,53828.0,6142.0,73167.0,1110.0,1021.0,6632.0
1995,North Dakota,172.0,86.0,1620.0,2.0,10074.0,795.0,12575.0,135.0,47.0,356.0
1995,South Carolina,24262.0,817.0,38066.0,248.0,106723.0,12071.0,157677.0,2301.0,5161.0,31972.0
1995,Utah,1025.0,166.0,4351.0,27.0,27312.0,1727.0,33556.0,373.0,169.0,1594.0
1995,Virginia,580.0,78.0,1318.0,22.0,5961.0,669.0,8026.0,169.0,138.0,909.0
1995,Vermont,208.0,146.0,1956.0,9.0,3947.0,290.0,6339.0,78.0,19.0,314.0
1996,Iowa,5018.0,662.0,16028.0,55.0,61888.0,4730.0,83308.0,645.0,1048.0,6766.0
1996,Idaho,2555.0,319.0,8102.0,46.0,33692.0,2315.0,44428.0,398.0,236.0,3235.0
1996,Illinois,,,1.0,,1.0,,2.0,1.0,1.0,2.0
1996,Massachusetts,9693.0,424.0,11919.0,34.0,32472.0,4892.0,49707.0,588.0,1179.0,11494.0
1996,Michigan,8235.0,1119.0,23864.0,94.0,103726.0,12442.0,141151.0,2081.0,2120.0,12530.0
1996,North Dakota,181.0,73.0,1425.0,9.0,8946.0,853.0,11297.0,144.0,51.0,385.0
1996,South Carolina,28724.0,1032.0,47689.0,340.0,132099.0,16227.0,197047.0,2739.0,6562.0,38365.0
1996,Utah,1012.0,194.0,4503.0,15.0,26603.0,1871.0,33171.0,388.0,167.0,1582.0
1996,Virginia,1265.0,170.0,3431.0,43.0,16115.0,1507.0,21223.0,320.0,425.0,2053.0
1996,Vermont,115.0,88.0,1445.0,4.0,3004.0,266.0,4803.0,50.0,8.0,177.0
1997,Colorado,3484.0,701.0,15235.0,63.0,66942.0,7332.0,90210.0,934.0,909.0,5390.0
1997,Iowa,5420.0,571.0,18080.0,41.0,61071.0,5203.0,84925.0,663.0,1076.0,7200.0
1997,Idaho,2476.0,315.0,8779.0,38.0,33070.0,2522.0,44686.0,464.0,235.0,3213.0
1997,Illinois,5.0,,,,2.0,,2.0,1.0,,6.0
1997,Massachusetts,12776.0,521.0,14115.0,25.0,39125.0,6932.0,60693.0,673.0,1349.0,14823.0
1997,Michigan,12421.0,1441.0,32248.0,148.0,139910.0,17248.0,190847.0,2951.0,3209.0,18729.0
1997,North Dakota,179.0,69.0,1689.0,5.0,9809.0,839.0,12406.0,140.0,33.0,357.0
1997,South Carolina,28672.0,1123.0,46723.0,318.0,133793.0,16025.0,197664.0,2845.0,6737.0,38572.0
1997,Tennessee,402.0,33.0,1432.0,17.0,2683.0,284.0,4432.0,66.0,80.0,565.0
1997,Texas,801.0,68.0,2611.0,27.0,9528.0,1659.0,13866.0,327.0,466.0,1621.0
1997,Utah,1527.0,193.0,5845.0,30.0,33666.0,2566.0,42270.0,555.0,310.0,2422.0
1997,Virginia,3111.0,462.0,7628.0,78.0,39053.0,3261.0,50404.0,850.0,844.0,4883.0
1997,Vermont,103.0,86.0,1235.0,4.0,2854.0,212.0,4387.0,48.0,6.0,161.0
1998,Colorado,4549.0,762.0,15549.0,60.0,65909.0,7557.0,89777.0,1116.0,1543.0,7268.0
1998,Connecticut,65.0,10.0,125.0,3.0,592.0,69.0,796.0,15.0,20.0,103.0
1998,Iowa,5672.0,652.0,16420.0,47.0,58956.0,4886.0,80914.0,801.0,1075.0,7595.0
1998,Idaho,2788.0,302.0,8232.0,36.0,31718.0,2383.0,42635.0,478.0,262.0,3564.0
1998,Illinois,,,,,3.0,,3.0,1.0,,1.0
1998,Kentucky,194.0,8.0,414.0,2.0,1864.0,133.0,2419.0,31.0,62.0,289.0
1998,Massachusetts,13117.0,480.0,13696.0,34.0,41701.0,6501.0,62378.0,742.0,1277.0,15170.0
1998,Michigan,14377.0,1923.0,38868.0,176.0,147667.0,18501.0,206959.0,4619.0,3412.0,22584.0
1998,North Dakota,169.0,75.0,1759.0,5.0,9654.0,862.0,12350.0,187.0,43.0,404.0
1998,Nebraska,227.0,,,3.0,,440.0,440.0,46.0,,276.0
1998,Ohio,1633.0,334.0,10123.0,33.0,27863.0,5217.0,43537.0,472.0,2158.0,4296.0
1998,South Carolina,26983.0,971.0,45054.0,312.0,129111.0,16362.0,191498.0,2654.0,6092.0,36041.0
